Origin,Destination,Distance,Time
7,45,852,144
7,46,852,144
7,47,548,91
7,48,501,83
7,49,390,63
7,50,479,80
7,51,491,83
7,52,752,125
7,53,599,103
7,54,2208,432
7,55,335,57
7,56,1105,189
7,57,308,52
7,58,502,85
7,59,495,83
7,60,1841,363
7,61,508,83
7,62,425,75
7,63,938,157
7,64,421,69
7,65,769,131
7,66,769,131
7,67,501,82
7,68,748,124
7,69,254,45
7,70,477,78
7,71,603,172
7,72,403,71
7,73,483,81
7,74,330,59
7,75,564,93
7,76,677,111
7,77,1695,342
7,78,1695,342
7,79,515,85
7,80,2174,426
7,81,645,110
7,82,508,83
7,83,726,124
7,84,244,43
7,85,532,94
7,86,545,161
7,87,645,110
7,88,1228,209
7,89,484,86
7,90,1024,177
7,91,903,214
7,92,447,73
7,93,905,154
7,94,1477,247
7,95,750,124
7,96,710,119
7,97,868,145
7,98,484,82
7,99,819,136
7,100,1329,299
7,101,778,130
7,102,554,92
7,103,747,127
7,104,701,120
7,105,721,123
7,106,899,149
7,107,403,71
7,108,417,68
7,109,656,109
7,110,656,109
7,111,769,131
7,112,629,135
7,113,740,122
7,114,51,9
7,115,695,118
7,116,576,94
7,117,484,79
7,118,377,69
7,119,731,122
7,120,571,93
7,121,142,25
7,122,844,141
7,123,1012,171
7,124,407,96
7,125,625,134
7,126,458,74
7,127,1037,176
7,128,849,148
7,129,571,93
7,130,854,142
8,1,1082,192
8,2,219,39
8,3,219,39
8,4,636,115
8,5,819,140
8,6,819,140
8,7,556,100
8,9,820,146
8,10,386,67
8,11,386,67
8,12,504,89
8,13,721,129
8,14,125,23
8,15,556,100
8,16,142,25
8,17,844,146
8,18,537,94
8,19,712,124
8,20,707,122
8,21,646,111
8,22,905,164
8,23,704,125
8,24,587,106
8,25,181,33
8,26,636,115
8,27,533,91
8,28,161,29
8,29,681,118
8,30,915,160
8,31,605,109
8,32,802,138
8,33,697,120
8,34,85,16
8,35,1029,184
8,36,1637,353
8,37,876,154
8,38,558,100
8,39,906,159
8,40,1066,183
8,41,816,146
8,42,404,70
8,43,54,10
8,44,502,91
8,45,1196,207
8,46,1196,207
8,47,454,81
8,48,97,18
8,49,296,52
8,50,759,135
8,51,65,12
8,52,659,114
8,53,541,97
8,54,1722,349
